d_metric,c_method,1/c_ratio,measure,value
HD,VW,0.6611111111111111,max,15.0
HD,VW,0.6611111111111111,mean,3.1839722222222218
HD,VW,0.6611111111111111,min,0.0
HD,VW,0.5733333333333334,max,25.0
HD,VW,0.5733333333333334,mean,5.716555555555557
HD,VW,0.5733333333333334,min,0.0
HD,VW,0.4816666666666667,max,35.0
HD,VW,0.4816666666666667,mean,8.700343253968255
HD,VW,0.4816666666666667,min,0.0
HD,VW,0.4166666666666667,max,57.0
HD,VW,0.4166666666666667,mean,11.42679365079365
HD,VW,0.4166666666666667,min,0.0
HD,VW,0.3661111111111111,max,65.5
HD,VW,0.3661111111111111,mean,14.551836787791242
HD,VW,0.3661111111111111,min,0.0
HD,VW,0.325,max,75.5
HD,VW,0.325,mean,16.78005440539654
HD,VW,0.325,min,0.0
AD,VW,1.0,max,0.40566586039911284
AD,VW,1.0,mean,0.06572976458097057
AD,VW,1.0,min,0.0
VD,VW,1.0,min,0.0
VD,VW,1.0,max,9073.952695076969
VD,VW,1.0,mean,1018.3668922973997
VD,VW,1.0,min,0.0
VD,VW,1.0,max,15976.986600202734
VD,VW,1.0,mean,1961.2530251689082
VD,VW,1.0,min,0.0
VD,VW,1.0,max,22318.99654837481
VD,VW,1.0,mean,3255.326023019968
VD,VW,1.0,min,0.0
VD,VW,1.0,max,29880.62379427228
VD,VW,1.0,mean,4384.780369485347
VD,VW,1.0,min,0.0
VD,VW,1.0,max,41507.642032587755
VD,VW,1.0,mean,5695.432506979059
VD,VW,1.0,min,0.0
VD,VW,1.0,max,46304.80340364098
VD,VW,1.0,mean,6799.782418766099
HD,PAA,0.1,max,224.4
HD,PAA,0.1,mean,42.48078289917221
HD,PAA,0.1,min,2.8000000000000007
HD,PAA,0.15,max,197.14285714285714
HD,PAA,0.15,mean,37.14646425690719
HD,PAA,0.15,min,0.8571428571428577
HD,PAA,0.2,max,177.4
HD,PAA,0.2,mean,33.168281717314535
HD,PAA,0.2,min,1.2000000000000002
HD,PAA,0.25,max,191.5
HD,PAA,0.25,mean,30.44642664629251
HD,PAA,0.25,min,0.25
HD,PAA,0.3,max,191.5
HD,PAA,0.3,mean,30.44642664629251
HD,PAA,0.3,min,0.25
HD,PAA,0.5,max,125.92025318321997
HD,PAA,0.5,mean,19.886948165081552
HD,PAA,0.5,min,0.0
AD,PAA,0.1,max,0.27087209060158446
AD,PAA,0.1,mean,0.0856168865950259
AD,PAA,0.1,min,0.0057946962427604535
AD,PAA,0.15,max,0.24275359614278616
AD,PAA,0.15,mean,0.07754166241819634
AD,PAA,0.15,min,0.0016897767368230724
AD,PAA,0.2,max,0.21283506255949802
AD,PAA,0.2,mean,0.07188233431624726
AD,PAA,0.2,min,0.002361095251313551
AD,PAA,0.25,max,0.20482940909818007
AD,PAA,0.25,mean,0.06741892844433504
AD,PAA,0.25,min,0.001371601211301938
AD,PAA,0.3,max,0.20482940909818007
AD,PAA,0.3,mean,0.06741892844433504
AD,PAA,0.3,min,0.001371601211301938
AD,PAA,0.5,max,0.21809782980960316
AD,PAA,0.5,mean,0.04598135390492106
AD,PAA,0.5,min,0.0
VD,PAA,0.1,min,0.0
VD,PAA,0.1,max,144183.15693709668
VD,PAA,0.1,mean,25550.088001328786
VD,PAA,0.15,min,104.53862551931888
VD,PAA,0.15,max,126909.89138045438
VD,PAA,0.15,mean,22205.23529300411
VD,PAA,0.2,min,146.35407572704798
VD,PAA,0.2,max,114400.10252664244
VD,PAA,0.2,mean,19712.10522839668
VD,PAA,0.25,min,0.0
VD,PAA,0.25,max,122876.44274583396
VD,PAA,0.25,mean,17784.256165882147
VD,PAA,0.3,min,0.0
VD,PAA,0.3,max,122876.44274583396
VD,PAA,0.3,mean,17784.256165882147
VD,PAA,0.5,min,0.0
VD,PAA,0.5,max,78665.31570328826
VD,PAA,0.5,mean,11418.870219503662
HD,DFT,0.1,max,137.95853605235806
HD,DFT,0.1,mean,25.63303809537211
HD,DFT,0.1,min,1.891987209747569
HD,DFT,0.15,max,114.7333337035744
HD,DFT,0.15,mean,24.718841621891475
HD,DFT,0.15,min,1.9777400822982436
HD,DFT,0.2,max,104.55516397477331
HD,DFT,0.2,mean,23.076379676436513
HD,DFT,0.2,min,1.4254828224459433
HD,DFT,0.25,max,102.58500081120727
HD,DFT,0.25,mean,22.05736541814293
HD,DFT,0.25,min,2.163323674807444
HD,DFT,0.3,max,89.61977912547454
HD,DFT,0.3,mean,20.93913108461538
HD,DFT,0.3,min,0.9897552243344876
HD,DFT,0.5,max,44.620274059491294
HD,DFT,0.5,mean,14.985404330065021
HD,DFT,0.5,min,0.782361864641711
AD,DFT,0.1,max,0.3114051014608786
AD,DFT,0.1,mean,0.11839013578268559
AD,DFT,0.1,min,0.0054325255335130945
AD,DFT,0.15,max,0.36937316296575967
AD,DFT,0.15,mean,0.12604598344851126
AD,DFT,0.15,min,0.001723361604000102
AD,DFT,0.2,max,0.3861808552004503
AD,DFT,0.2,mean,0.12103901392299332
AD,DFT,0.2,min,0.0018654129398949781
AD,DFT,0.25,max,0.37456085727684396
AD,DFT,0.25,mean,0.12681908245727258
AD,DFT,0.25,min,0.0026271311884246804
AD,DFT,0.3,max,0.3787666236577901
AD,DFT,0.3,mean,0.12759660367663225
AD,DFT,0.3,min,0.0043869342848428285
AD,DFT,0.5,max,0.35210062149486193
AD,DFT,0.5,mean,0.09633877320866131
AD,DFT,0.5,min,0.0009698939715499366
VD,DFT,0.1,min,10.44149471819037
VD,DFT,0.1,max,92079.23242545832
VD,DFT,0.1,mean,12750.001468948714
VD,DFT,0.15,min,183.09483243458817
VD,DFT,0.15,max,84676.72899959148
VD,DFT,0.15,mean,11627.563718087811
VD,DFT,0.2,min,23.723598068194292
VD,DFT,0.2,max,70142.72722134645
VD,DFT,0.2,mean,10737.224218066041
VD,DFT,0.25,min,37.34948809970956
VD,DFT,0.25,max,69103.27892384019
VD,DFT,0.25,mean,9906.338688694124
VD,DFT,0.3,min,56.509435007428465
VD,DFT,0.3,max,60373.01652434487
VD,DFT,0.3,mean,9025.293403732841
VD,DFT,0.5,min,16.575037367712866
VD,DFT,0.5,max,27041.01625273103
VD,DFT,0.5,mean,6204.025828719322
HD,OP,15,max,96.01804064386775
HD,OP,15,mean,26.09975372390544
HD,OP,15,min,0.0
HD,OP,25,max,136.05316655295988
HD,OP,25,mean,31.017819623946647
HD,OP,25,min,0.0
HD,OP,35,max,136.05316655295988
HD,OP,35,mean,28.24552860074739
HD,OP,35,min,0.0
HD,OP,50,max,136.05316655295988
HD,OP,50,mean,25.978076472773783
HD,OP,50,min,0.0
HD,OP,65,max,124.23954333901682
HD,OP,65,mean,18.564264626114962
HD,OP,65,min,0.0
HD,OP,80,max,136.05316655295988
HD,OP,80,mean,13.892578404882283
HD,OP,80,min,0.0
AD,OP,0.6161111111111112,max,0.50414448215079
AD,OP,0.6161111111111112,mean,0.07103342198186084
AD,OP,0.6161111111111112,min,0.0
AD,OP,0.4638888888888889,max,0.45682778595409995
AD,OP,0.4638888888888889,mean,0.1218003199155509
AD,OP,0.4638888888888889,min,0.0
AD,OP,0.365,max,0.5446419887872092
AD,OP,0.365,mean,0.16271218769771234
AD,OP,0.365,min,0.0
AD,OP,0.2411111111111111,max,0.5695543945702269
AD,OP,0.2411111111111111,mean,0.1834219156155868
AD,OP,0.2411111111111111,min,0.0
AD,OP,0.15611111111111112,max,0.6515894458050953
AD,OP,0.15611111111111112,mean,0.23553123302463855
AD,OP,0.15611111111111112,min,0.0
AD,OP,0.09388888888888888,max,0.6626032290221003
AD,OP,0.09388888888888888,mean,0.29229633913394454
AD,OP,0.09388888888888888,min,0.0
VD,OP,1.0,min,0.0
VD,OP,1.0,max,28173.159577456718
VD,OP,1.0,mean,3045.845136732797
VD,OP,1.0,min,0.0
VD,OP,1.0,max,51528.83082889811
VD,OP,1.0,mean,6595.813246447141
VD,OP,1.0,min,0.0
VD,OP,1.0,max,64426.28375234421
VD,OP,1.0,mean,10494.958846702268
VD,OP,1.0,min,0.0
VD,OP,1.0,max,57983.463095103376
VD,OP,1.0,mean,15166.980154596406
VD,OP,1.0,min,0.0
VD,OP,1.0,max,68879.84826188913
VD,OP,1.0,mean,20093.550180929997
VD,OP,1.0,min,0.0
VD,OP,1.0,max,94140.51690099825
VD,OP,1.0,mean,24856.383747488802
HD,DP,0.9038888888888889,max,47.5
HD,DP,0.9038888888888889,mean,1.0348333333333333
HD,DP,0.9038888888888889,min,0.0
HD,DP,0.8855555555555555,max,57.5
HD,DP,0.8855555555555555,mean,1.6195532986650747
HD,DP,0.8855555555555555,min,0.0
HD,DP,0.8794444444444445,max,57.5
HD,DP,0.8794444444444445,mean,1.8091644097761854
HD,DP,0.8794444444444445,min,0.0
HD,DP,0.865,max,57.5
HD,DP,0.865,mean,2.1013866319984076
HD,DP,0.865,min,0.0
HD,DP,0.8544444444444445,max,57.5
HD,DP,0.8544444444444445,mean,2.397579281161956
HD,DP,0.8544444444444445,min,0.0
HD,DP,0.8505555555555555,max,57.5
HD,DP,0.8505555555555555,mean,2.4558015033841785
HD,DP,0.8505555555555555,min,0.0
AD,DP,1.0,max,0.3865990943284386
AD,DP,1.0,mean,0.014128370359279314
AD,DP,1.0,min,0.0
VD,DP,1.0,min,0.0
VD,DP,1.0,max,16586.795249065428
VD,DP,1.0,mean,316.9649843755232
VD,DP,1.0,min,0.0
VD,DP,1.0,max,19269.95330406131
VD,DP,1.0,mean,471.24657253778616
VD,DP,1.0,min,0.0
VD,DP,1.0,max,20733.49406133178
VD,DP,1.0,mean,539.585795120333
VD,DP,1.0,min,0.0
VD,DP,1.0,max,20733.49406133178
VD,DP,1.0,mean,645.6247435059023
VD,DP,1.0,min,0.0
VD,DP,1.0,max,20733.49406133178
VD,DP,1.0,mean,745.226822820143
VD,DP,1.0,min,0.0
VD,DP,1.0,max,20733.49406133178
VD,DP,1.0,mean,772.0584033701017
